"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"27-Dec-2022","EQ","131.75","133.35","129.80","130.75","132.40","132.95","131.99","142.20","78.60",12906891,"1,703,603,704.20",62340
"26-Dec-2022","EQ","122.75","132.30","120.90","122.45","131.25","130.75","128.76","142.20","78.60",22992460,"2,960,451,720.90",77267
"23-Dec-2022","EQ","126.10","126.95","121.45","127.95","122.95","122.45","123.70","142.20","78.60",13181619,"1,630,567,967.20",64022
"22-Dec-2022","EQ","131.45","132.35","127.10","130.90","127.70","127.95","128.79","142.20","78.60",17643887,"2,272,332,614.05",68670
"21-Dec-2022","EQ","135.60","136.25","130.35","134.95","131.20","130.90","133.46","142.20","78.60",13127587,"1,751,949,896.80",54617
"20-Dec-2022","EQ","136.70","137.35","133.30","136.85","134.95","134.95","134.64","142.20","78.60",10008151,"1,347,497,845.80",47302
"19-Dec-2022","EQ","136.25","137.75","134.40","136.05","136.50","136.85","136.63","142.20","78.60",10385302,"1,418,900,892.90",41963
"16-Dec-2022","EQ","137.55","139.75","135.35","137.85","136.35","136.05","137.23","142.20","78.60",14600806,"2,003,740,412.35",74893
"15-Dec-2022","EQ","136.75","142.20","136.25","136.75","137.70","137.85","139.46","142.20","78.60",30030543,"4,187,938,372.50",105718
"14-Dec-2022","EQ","136.95","137.65","136.00","136.25","136.55","136.75","136.85","139.95","78.60",7409698,"1,014,023,727.55",37914
"13-Dec-2022","EQ","134.60","137.40","134.10","134.00","136.20","136.25","136.25","139.95","78.60",10645314,"1,450,433,376.30",66807
"12-Dec-2022","EQ","133.95","134.40","132.25","133.85","134.10","134.00","133.33","139.95","78.60",5392164,"718,948,144.45",31718
"09-Dec-2022","EQ","136.40","138.20","132.60","135.75","133.85","133.85","135.59","139.95","78.60",12091632,"1,639,493,115.90",48641
"08-Dec-2022","EQ","132.70","136.20","132.25","132.10","135.95","135.75","135.02","139.95","78.60",16928789,"2,285,662,090.20",73134
"07-Dec-2022","EQ","135.00","135.70","131.20","134.80","132.25","132.10","133.15","139.95","78.60",12158260,"1,618,872,278.25",56695
"06-Dec-2022","EQ","137.85","139.20","134.40","137.30","134.70","134.80","136.49","139.95","78.60",18534496,"2,529,825,093.65",71215
"05-Dec-2022","EQ","133.80","137.65","133.05","133.25","137.50","137.30","136.10","139.95","78.60",14401826,"1,960,030,792.20",78952
"02-Dec-2022","EQ","132.90","133.90","132.00","132.70","133.40","133.25","133.10","139.95","78.60",6907375,"919,347,524.65",43182
"01-Dec-2022","EQ","132.15","134.90","131.25","131.45","132.60","132.70","133.08","139.95","78.60",10535474,"1,402,034,691.20",58617
"30-Nov-2022","EQ","132.80","133.35","131.00","132.45","132.05","131.45","131.72","139.95","78.60",6326371,"833,293,677.15",38935
"29-Nov-2022","EQ","133.75","134.70","132.05","133.80","132.35","132.45","133.01","139.95","78.60",6388679,"849,767,679.95",25323
"28-Nov-2022","EQ","133.25","134.25","132.30","132.55","133.35","133.80","133.41","139.95","78.60",7327894,"977,582,965.75",42827
"25-Nov-2022","EQ","134.00","135.10","132.00","133.35","132.35","132.55","133.09","139.95","78.60",7701526,"1,024,964,806.85",36714
"24-Nov-2022","EQ","134.95","135.25","132.90","134.35","133.60","133.35","134.18","139.95","78.60",7435488,"997,727,168.45",33564
"23-Nov-2022","EQ","132.15","134.95","131.65","131.45","134.40","134.35","133.81","139.95","78.60",8020019,"1,073,189,410.80",38391
"22-Nov-2022","EQ","132.90","133.20","130.20","132.40","132.00","131.45","131.20","139.95","78.60",6354133,"833,649,463.90",37682
"21-Nov-2022","EQ","132.30","133.00","131.40","132.70","132.50","132.40","132.25","139.95","78.60",4197089,"555,070,189.10",30908
