"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"27-Dec-2022","EQ","205.00","209.90","205.00","201.80","209.55","208.30","207.22","268.00","179.85",1721370,"356,707,707.00",23120
"26-Dec-2022","EQ","193.45","204.50","192.00","192.40","202.90","201.80","200.24","268.00","179.85",2063599,"413,212,542.00",24492
"23-Dec-2022","EQ","199.00","200.30","190.00","203.60","192.45","192.40","195.34","268.00","179.85",2935458,"573,413,800.05",49716
"22-Dec-2022","EQ","209.10","210.10","200.90","208.05","203.75","203.60","203.84","268.00","179.85",2155044,"439,283,220.45",35402
"21-Dec-2022","EQ","216.95","218.00","206.00","215.95","208.90","208.05","211.10","268.00","179.85",2377220,"501,835,196.75",30090
"20-Dec-2022","EQ","218.55","218.95","214.10","218.55","215.75","215.95","215.46","268.00","179.85",1458041,"314,154,604.00",24569
"19-Dec-2022","EQ","220.00","220.00","217.50","218.80","217.60","218.55","218.49","268.00","179.85",815035,"178,074,548.55",11578
"16-Dec-2022","EQ","222.20","223.90","217.00","222.50","220.00","218.80","219.50","269.65","179.85",2211948,"485,516,332.75",19617
"15-Dec-2022","EQ","224.35","225.30","222.00","223.35","222.20","222.50","223.51","269.65","179.85",938333,"209,725,298.50",8850
"14-Dec-2022","EQ","225.20","226.15","222.25","223.95","223.45","223.35","224.09","269.65","179.85",1443371,"323,448,445.60",18497
"13-Dec-2022","EQ","223.80","227.75","222.90","221.15","224.40","223.95","224.78","269.65","179.85",2617205,"588,308,045.00",30300
"12-Dec-2022","EQ","221.70","224.75","218.15","221.75","220.40","221.15","221.69","269.65","179.85",1316525,"291,856,653.60",13581
"09-Dec-2022","EQ","227.75","228.75","220.10","226.60","221.70","221.75","223.17","269.65","179.85",1851300,"413,153,546.20",20184
"08-Dec-2022","EQ","228.35","228.35","226.05","227.35","226.60","226.60","227.09","269.65","179.85",1033086,"234,607,206.95",10023
"07-Dec-2022","EQ","232.00","233.25","226.25","231.85","227.80","227.35","228.58","269.65","179.85",1546023,"353,397,588.10",12575
"06-Dec-2022","EQ","230.50","234.50","229.40","230.55","230.65","231.85","231.53","269.65","179.85",1854560,"429,379,761.35",15434
"05-Dec-2022","EQ","233.60","233.70","227.70","232.75","230.70","230.55","230.21","269.65","179.85",1996779,"459,675,455.25",16409
"02-Dec-2022","EQ","234.95","236.55","231.25","234.55","232.55","232.75","234.06","269.65","179.85",1476658,"345,633,648.85",11553
"01-Dec-2022","EQ","237.00","239.80","233.10","235.15","234.00","234.55","235.72","269.65","179.85",2198612,"518,263,634.15",19214
"30-Nov-2022","EQ","228.75","237.95","228.25","227.45","234.20","235.15","234.58","269.65","179.85",4883217,"1,145,482,205.00",31556
"29-Nov-2022","EQ","233.00","234.65","226.55","233.45","227.35","227.45","229.03","269.65","179.85",4177077,"956,678,585.40",23590
"28-Nov-2022","EQ","236.00","241.70","232.00","234.70","234.05","233.45","236.47","269.65","179.85",5023716,"1,187,979,351.20",34160
"25-Nov-2022","EQ","216.00","236.00","215.10","215.05","235.85","234.70","229.99","286.90","179.85",13154487,"3,025,438,009.40",71051
"24-Nov-2022","EQ","217.25","217.70","214.20","216.75","215.15","215.05","215.35","286.90","179.85",3218513,"693,110,665.45",20644
"23-Nov-2022","EQ","220.35","220.95","216.10","219.25","216.75","216.75","218.09","286.90","179.85",1651380,"360,153,336.10",12664
"22-Nov-2022","EQ","218.15","220.50","217.20","217.55","219.00","219.25","218.55","286.90","179.85",1319692,"288,418,570.70",11954
"21-Nov-2022","EQ","222.00","224.80","216.25","219.85","217.10","217.55","220.44","286.90","179.85",2846812,"627,541,156.05",33743
"18-Nov-2022","EQ","219.60","221.40","217.10","218.65","219.60","219.85","219.64","298.65","179.85",2535624,"556,912,146.25",17699
"17-Nov-2022","EQ","221.60","222.55","215.60","225.50","218.80","218.65","218.52","298.65","179.85",4587294,"1,002,408,518.15",41957
"16-Nov-2022","EQ","226.95","228.10","222.40","226.40","225.60","225.50","224.82","298.65","179.85",2096424,"471,311,280.60",16721
"15-Nov-2022","EQ","229.20","230.35","225.40","228.40","226.80","226.40","227.72","298.65","179.85",1933394,"440,264,353.95",13776
"14-Nov-2022","EQ","225.80","230.30","224.05","224.65","228.55","228.40","227.80","298.65","179.85",3046171,"693,927,456.35",18900
"11-Nov-2022","EQ","227.20","227.45","221.35","222.30","224.80","224.65","224.01","298.65","179.85",4003366,"896,800,977.10",28727
"10-Nov-2022","EQ","225.05","228.95","221.20","236.20","222.50","222.30","224.65","298.65","179.85",6441001,"1,446,940,096.05",46062
"09-Nov-2022","EQ","245.00","246.80","231.60","240.95","237.00","236.20","237.66","298.65","179.85",16388474,"3,894,861,444.60",79336
"07-Nov-2022","EQ","231.90","244.45","231.60","229.90","242.10","240.95","238.45","298.65","179.85",10679484,"2,546,474,621.65",58398
"04-Nov-2022","EQ","231.30","235.75","228.00","229.80","230.00","229.90","232.63","298.65","179.85",6751665,"1,570,627,988.60",41168
"03-Nov-2022","EQ","250.80","250.80","224.30","252.75","229.25","229.80","234.02","298.65","179.85",17563411,"4,110,178,194.45",98496
"02-Nov-2022","EQ","245.45","260.40","242.35","244.75","255.00","252.75","253.13","298.65","179.85",16787185,"4,249,271,462.15",96575
"01-Nov-2022","EQ","236.60","246.00","234.45","235.20","244.55","244.75","242.57","298.65","179.85",8887690,"2,155,915,677.30",60261
"31-Oct-2022","EQ","237.25","239.40","234.20","236.95","235.80","235.20","236.41","298.65","179.85",3175630,"750,746,703.05",23804
