"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"27-Dec-2022","EQ","18.40","18.80","17.75","17.70","18.05","18.05","18.13","21.80","7.25",66733218,"1,210,033,920.75",35560
"26-Dec-2022","EQ","15.75","18.00","15.65","15.50","18.00","17.70","17.20","21.80","7.25",78485131,"1,349,557,845.50",43849
"23-Dec-2022","EQ","16.60","16.90","15.30","17.00","15.55","15.50","15.98","21.80","7.25",70942536,"1,133,832,667.80",41221
"22-Dec-2022","EQ","17.95","18.15","16.30","17.60","17.00","17.00","16.91","21.80","7.25",74048416,"1,252,433,257.65",44448
"21-Dec-2022","EQ","18.90","19.45","17.35","18.75","17.75","17.60","18.56","21.80","7.25",74183871,"1,377,061,228.40",48481
"20-Dec-2022","EQ","18.95","18.95","18.00","18.95","18.85","18.75","18.46","21.80","7.25",36745633,"678,146,196.80",31851
"19-Dec-2022","EQ","19.60","20.00","18.20","19.45","19.05","18.95","18.98","21.80","7.25",48023538,"911,700,939.25",37462
"16-Dec-2022","EQ","20.50","21.20","18.80","20.65","19.45","19.45","19.79","21.80","7.25",102823588,"2,034,904,073.40",63985
"15-Dec-2022","EQ","20.30","21.80","20.10","20.15","20.60","20.65","20.93","21.80","7.25",104164413,"2,179,663,204.15",68009
"14-Dec-2022","EQ","19.70","20.60","19.55","19.55","20.20","20.15","20.14","20.60","7.25",101521081,"2,044,442,621.00",58129
"13-Dec-2022","EQ","18.70","19.75","18.65","18.50","19.60","19.55","19.37","19.75","7.25",115557890,"2,238,767,180.45",56347
"12-Dec-2022","EQ","18.00","18.70","17.75","18.15","18.50","18.50","18.33","19.10","7.25",49333029,"904,441,282.35",36591
"09-Dec-2022","EQ","18.30","19.10","17.35","18.10","18.15","18.15","18.44","19.10","7.25",87640093,"1,616,446,206.90",56258
"08-Dec-2022","EQ","18.00","18.40","17.85","18.00","18.30","18.10","18.04","18.70","7.25",42512303,"767,041,544.10",32948
"07-Dec-2022","EQ","18.40","18.65","17.85","18.35","17.95","18.00","18.24","18.70","7.25",60026575,"1,094,913,468.80",37786
"06-Dec-2022","EQ","18.00","18.70","17.80","18.00","18.45","18.35","18.35","18.70","7.25",78323080,"1,437,090,376.80",48406
"05-Dec-2022","EQ","16.90","18.25","16.80","16.75","18.10","18.00","17.64","18.25","7.25",76267058,"1,345,399,241.05",32888
"02-Dec-2022","EQ","16.85","16.95","16.45","16.80","16.80","16.75","16.76","18.10","7.25",35886221,"601,596,719.15",22058
"01-Dec-2022","EQ","17.05","17.35","16.55","16.85","16.80","16.80","17.01","18.10","7.25",45685540,"777,053,999.15",31465
"30-Nov-2022","EQ","17.95","18.10","16.70","17.50","16.90","16.85","17.42","18.10","7.25",102273890,"1,781,130,289.70",65999
"29-Nov-2022","EQ","16.45","17.75","16.10","16.25","17.75","17.50","16.98","17.75","7.25",93917698,"1,594,450,628.30",42797
"28-Nov-2022","EQ","16.40","16.75","16.20","16.15","16.35","16.25","16.44","16.75","7.25",50083369,"823,488,987.35",29822
"25-Nov-2022","EQ","14.90","16.40","14.85","14.90","16.35","16.15","15.79","16.40","7.25",101373347,"1,600,781,764.65",42912
"24-Nov-2022","EQ","14.95","15.15","14.80","14.85","14.95","14.90","14.97","15.50","7.25",32963643,"493,555,350.25",17426
"23-Nov-2022","EQ","14.75","15.20","14.75","14.70","14.80","14.85","14.94","15.50","7.25",29887064,"446,381,052.80",18070
"22-Nov-2022","EQ","15.00","15.45","14.60","14.90","14.70","14.70","15.02","15.50","7.25",59808394,"898,132,717.50",27931
"21-Nov-2022","EQ","14.60","15.05","14.30","14.55","15.00","14.90","14.81","15.50","7.25",57110719,"845,880,068.40",24364
"18-Nov-2022","EQ","14.50","14.90","14.45","14.40","14.45","14.55","14.64","15.50","7.25",30126887,"440,917,381.55",19375
"17-Nov-2022","EQ","14.45","14.65","14.25","14.45","14.35","14.40","14.45","15.50","7.25",22530233,"325,640,906.80",14278
"16-Nov-2022","EQ","13.95","15.00","13.75","13.95","14.40","14.45","14.60","15.50","7.25",69525060,"1,015,180,646.85",29681
"15-Nov-2022","EQ","14.20","14.25","13.80","14.20","13.95","13.95","13.98","15.50","7.25",21081556,"294,638,283.85",15811
"14-Nov-2022","EQ","14.30","14.50","14.00","14.40","14.15","14.20","14.25","15.50","7.25",24910613,"354,938,817.60",18110
"11-Nov-2022","EQ","14.70","14.95","14.25","14.35","14.25","14.40","14.50","15.50","7.25",31132854,"451,529,970.75",20535
"10-Nov-2022","EQ","14.80","14.80","14.00","14.90","14.50","14.35","14.29","15.50","7.25",52709789,"753,354,194.65",31828
"09-Nov-2022","EQ","15.30","15.35","14.60","15.15","14.85","14.90","14.92","15.50","7.25",51221857,"764,369,679.10",32906
"07-Nov-2022","EQ","15.00","15.50","15.00","14.85","15.20","15.15","15.22","15.50","7.25",53952252,"821,237,365.80",35089
"04-Nov-2022","EQ","14.85","15.35","14.50","14.75","14.85","14.85","14.94","15.35","7.25",88190601,"1,317,948,625.00",46629
"03-Nov-2022","EQ","13.75","14.90","13.65","13.75","14.85","14.75","14.39","14.90","7.25",65188961,"938,187,985.75",35726
"02-Nov-2022","EQ","13.85","14.25","13.70","13.75","13.75","13.75","13.93","14.65","7.25",40745198,"567,531,569.30",24999
